mass,up_unc,down_unc
0.1131,0.2397,0.2396
0.1141,0.2388,0.2388
0.1151,0.2379,0.2379
0.1161,0.2371,0.2371
0.1171,0.2363,0.2363
0.1181,0.2355,0.2355
0.1191,0.2347,0.2347
0.1201,0.2339,0.2339
0.1212,0.2332,0.2332
0.1222,0.2324,0.2324
0.1233,0.2317,0.2317
0.1243,0.2311,0.231
0.1254,0.2304,0.2304
0.1265,0.2298,0.2297
0.1276,0.2291,0.2291
0.1287,0.2286,0.2285
0.1298,0.228,0.228
0.1309,0.2275,0.2275
0.1321,0.227,0.227
0.1332,0.2265,0.2265
0.1344,0.2261,0.2261
0.1355,0.2257,0.2257
0.1367,0.2253,0.2253
0.1379,0.225,0.2249
0.1391,0.2247,0.2246
0.1403,0.2244,0.2244
0.1415,0.2242,0.2242
0.1427,0.224,0.224
0.1439,0.2238,0.2238
0.1452,0.2237,0.2237
0.1464,0.2236,0.2236
0.1477,0.2236,0.2236
0.149,0.2236,0.2236
0.1503,0.2236,0.2236
0.1516,0.2237,0.2237
0.1529,0.2238,0.2238
0.1542,0.2239,0.2239
0.1555,0.2241,0.2241
0.1569,0.2243,0.2243
0.1582,0.2246,0.2246
0.1596,0.2249,0.2249
0.161,0.2252,0.2252
0.1624,0.2255,0.2255
0.1638,0.2259,0.2259
0.1652,0.2263,0.2263
0.1666,0.2268,0.2267
0.1681,0.2272,0.2272
0.1695,0.2277,0.2277
0.171,0.2282,0.2282
0.1725,0.2287,0.2287
0.174,0.2293,0.2293
0.1755,0.2298,0.2298
0.177,0.2304,0.2304
0.1785,0.231,0.231
0.1801,0.2316,0.2316
0.1816,0.2323,0.2322
0.1832,0.2329,0.2329
0.1848,0.2335,0.2335
0.1864,0.2342,0.2341
0.188,0.2348,0.2348
0.1896,0.2355,0.2354
0.1913,0.2361,0.2361
0.1929,0.2368,0.2367
0.1946,0.2374,0.2374
0.1963,0.238,0.238
0.198,0.2387,0.2386
0.1997,0.2393,0.2392
0.2014,0.2399,0.2399
0.2031,0.2405,0.2405
0.2049,0.2411,0.241
0.2067,0.2416,0.2416
0.2085,0.2422,0.2422
0.2103,0.2427,0.2427
0.2121,0.2433,0.2432
0.2139,0.2438,0.2437
0.2158,0.2443,0.2442
0.2176,0.2447,0.2447
0.2195,0.2452,0.2452
0.2214,0.2456,0.2456
0.2233,0.246,0.246
0.2253,0.2464,0.2464
0.2272,0.2468,0.2468
0.2292,0.2472,0.2471
0.2312,0.2475,0.2475
0.2332,0.2478,0.2478
0.2352,0.2481,0.2481
0.2372,0.2484,0.2483
0.2393,0.2486,0.2486
0.2413,0.2489,0.2489
0.2434,0.2491,0.2491
0.2455,0.2493,0.2493
0.2476,0.2495,0.2495
0.2498,0.2497,0.2497
0.2519,0.2499,0.2498
0.2541,0.25,0.25
0.2563,0.2501,0.2501
0.2585,0.2503,0.2502
0.2608,0.2504,0.2503
0.263,0.2504,0.2504
0.2653,0.2505,0.2505
0.2676,0.2506,0.2505
0.2699,0.2506,0.2506
0.2723,0.2507,0.2506
0.2746,0.2507,0.2506
0.277,0.2507,0.2506
0.2794,0.2507,0.2506
0.2818,0.2506,0.2506
0.2842,0.2506,0.2506
0.2867,0.2505,0.2505
0.2892,0.2505,0.2504
0.2917,0.2504,0.2503
0.2942,0.2502,0.2502
0.2967,0.2501,0.25
0.2993,0.2499,0.2499
