mass charge yield
3.5 0.008 0.110150484375
3.5 0.009 0.13934527294921872
3.5 0.01 0.16828093261718752
3.5 0.02 0.5075783203125
3.5 0.023 0.5721075590820311
3.5 0.025 0.6088706970214844
3.5 0.027 0.5773873106689452
3.5 0.03 0.5111272155761719
3.5 0.033 0.5209838745117188
3.5 0.035 0.5887763542175294
3.5 0.037 0.5962768739013671
3.5 0.04 0.5705599121093751
3.5 0.05 0.6485058593750002
3.5 0.06 0.7992942626953125
3.5 0.07 1.0385782379150392
3.5 0.08 1.4509474609375002
3.5 0.093 1.6520244587402344
3.5 0.095 2.14685823059082
3.7 0.001 0.0
3.7 0.003 0.0014213312072753907
3.7 0.004 0.006555404296874999
3.7 0.005 0.021894348144531253
3.7 0.006 0.0425247275390625
3.7 0.007 0.07388841711425782
3.7 0.008 0.107338390625
3.7 0.009 0.13020084558105466
3.7 0.01 0.17393841552734376
3.7 0.02 0.47106123046875004
3.7 0.023 0.5209305544433593
3.7 0.025 0.5166344070434571
3.7 0.027 0.5285376364746094
3.7 0.03 0.5420893249511719
3.7 0.033 0.5416127940673828
3.7 0.035 0.5307175674438477
3.7 0.037 0.5464916982421875
3.7 0.04 0.55439638671875
3.7 0.05 0.6338565826416017
3.7 0.06 0.8343771240234374
3.7 0.07 0.9758705596923829
3.7 0.08 1.2737796875
3.7 0.09 1.081853530883789
3.7 0.095 1.241576890182495
3.7 0.1 1.433415222167969
4.0 0.001 0.0
4.0 0.003 0.0009427782897949219
4.0 0.004 0.0068713193359375
4.0 0.005 0.01935880584716797
4.0 0.006 0.0368757333984375
4.0 0.007 0.055122224609375006
4.0 0.008 0.0947263671875
4.0 0.009 0.10904217626953124
4.0 0.01 0.1416519287109375
4.0 0.02 0.352508251953125
4.0 0.023 0.39204685937499995
4.0 0.025 0.4208737182617188
4.0 0.027 0.42240762377929686
4.0 0.03 0.41568409423828123
4.0 0.033 0.39486399554443363
4.0 0.035 0.41393945541381844
4.0 0.037 0.41548464831542964
4.0 0.04 0.43463388671875003
4.0 0.05 0.5131614685058594
4.0 0.06 0.6938815979003906
4.0 0.07 0.863006219482422
4.0 0.08 0.9567121093750001
4.0 0.09 1.013289779663086
4.0 0.093 1.4187498324279786
4.0 0.095 1.3591741439819336
4.0 0.1 1.363688201904297
4.5 0.001 0.0
4.5 0.003 0.0008170705261230469
4.5 0.004 0.0052891279296875
4.5 0.005 0.014517990112304688
4.5 0.006 0.02880312890625
4.5 0.007 0.04236548852539063
4.5 0.008 0.06799653124999999
4.5 0.009 0.07279620391845702
4.5 0.01 0.10114847412109375
4.5 0.02 0.25264365234375
4.5 0.03 0.28434429931640626
4.5 0.033 0.2967132178344727
4.5 0.035 0.28232337760925297
4.5 0.037 0.2833400934143066
4.5 0.04 0.316649072265625
4.5 0.05 0.35169868469238286
4.5 0.06 0.41552026062011715
4.5 0.07 0.5586039253234865
4.5 0.1 1.1110205078125002
4.7 0.001 3.6149200797080994e-07
4.7 0.003 0.000684709716796875
4.7 0.004 0.00346025439453125
4.7 0.005 0.0101163818359375
4.7 0.006 0.01933767333984375
4.7 0.007 0.030465453918457036
4.7 0.008 0.04249620703125
4.7 0.009 0.049356285095214836
4.7 0.01 0.06987930908203126
4.7 0.02 0.18466878662109376
4.7 0.03 0.20366661071777342
4.7 0.04 0.221741259765625
4.7 0.05 0.21999214172363285
4.7 0.06 0.24587745666503905
4.7 0.07 0.33098125762939457
4.7 0.08 0.520291943359375
4.7 0.09 0.5824139900207519
4.7 0.093 0.6292238561553956
4.7 0.095 0.6492112184524537
4.7 0.1 0.6850268554687501
4.7 0.2 2.991688537597657
5.0 0.001 0.0
5.0 0.003 0.0002471465148925781
5.0 0.004 0.0011498365478515625
5.0 0.005 0.004644770431518555
5.0 0.006 0.010779076538085937
5.0 0.007 0.018977113220214847
5.0 0.008 0.02440718359375
5.0 0.009 0.03347140100097656
5.0 0.01 0.04040809326171875
5.0 0.02 0.11455886230468751
5.0 0.03 0.1523168701171875
5.0 0.04 0.13604296875
5.0 0.05 0.12569265365600588
5.0 0.06 0.16687994842529297
5.0 0.07 0.23129422836303715
5.0 0.08 0.201846142578125
5.0 0.09 0.19552302589416504
5.0 0.093 0.19939898589134217
5.0 0.095 0.434854213809967
5.5 0.01 0.030967425537109378
5.5 0.02 0.09224885253906251
5.5 0.03 0.05767880630493164
5.5 0.04 0.12867421875
